voyage_id,vessel_name,arrival_port,cargo_volume_teu,days_in_port,demurrage_costs_usd,fuel_consumed_mt,co2_emissions_mt,cii_rating
V-2026-092,Maersk Mc-Kinney Moller,Luanda,7688,3,0,119.9449555993768,373.5085917364593,A
V-2026-093,Maersk Hangzhou,Apapa,5618,14,31500,556.669497550462,1733.4688153721386,E
V-2026-094,Maersk Hangzhou,Apapa,7604,9,14000,389.82343410562515,1213.9101738049167,C
V-2026-095,Maersk Mc-Kinney Moller,Tin Can Island,4641,7,7000,266.5444067839735,830.0192827252935,C
V-2026-096,Maersk Hangzhou,Apapa,8369,11,21000,474.80243087343683,1478.5347697398822,D
V-2026-097,Maersk Herrera,Apapa,7553,17,42000,759.5555401247699,2365.2559519485335,E
V-2026-098,Maersk Mc-Kinney,Tema,5559,4,0,143.53632893462586,446.9721283024249,A
V-2026-099,Maersk Mc-Kinney,Tema,7048,4,0,171.6727135787853,534.5888300843375,A
V-2026-100,Maersk Mc-Kinney Moller,Apapa,7823,6,3500,245.39735382825813,764.1673598211958,B
V-2026-101,Maersk Camacari,Tin Can Island,5459,16,38500,636.807354722956,1983.0181026072848,E
V-2026-102,Maersk Mc-Kinney Moller,Tin Can Island,4765,13,28000,509.6696512264598,1587.1112939191958,D
V-2026-103,Maersk Camacari,Tin Can Island,4979,14,31500,599.8535569522033,1867.9439763491612,E
V-2026-104,Maersk Mc-Kinney,Apapa,7146,14,31500,579.5105899763939,1804.5959771864907,E
V-2026-105,Maersk Mc-Kinney Moller,Tin Can Island,4135,16,38500,688.8071468030979,2144.9454551448466,E
V-2026-106,Maersk Herrera,Luanda,7908,2,0,88.06302117353252,274.22824793438025,A
V-2026-107,Maersk Hangzhou,Tin Can Island,4257,17,42000,699.9348310565397,2179.5970639100647,E
V-2026-108,Maersk Camacari,Luanda,6952,3,0,134.41388175277135,418.56482777812994,A
V-2026-109,Maersk Hangzhou,Tin Can Island,4570,11,21000,451.8896634496074,1407.1844119820773,D
V-2026-110,Maersk Hangzhou,Apapa,8381,17,42000,703.229534675788,2189.856770980404,E
V-2026-111,Maersk Mc-Kinney Moller,Tin Can Island,8377,12,24500,486.5778730250671,1515.203496600059,D
V-2026-112,Maersk Hangzhou,Tin Can Island,5349,14,31500,502.74029274718623,1565.533271614738,E
V-2026-113,Maersk Herrera,Luanda,5751,2,0,84.52794065300456,263.2200071934562,A
V-2026-114,Maersk Hangzhou,Apapa,6230,6,3500,242.84677841394668,756.2248679810299,B
V-2026-115,Maersk Mc-Kinney Moller,Tin Can Island,4989,15,35000,592.6365671124156,1845.4702699880622,E
V-2026-116,Maersk Herrera,Tin Can Island,4131,14,31500,617.4659789764582,1922.789058532691,E
V-2026-117,Maersk Mc-Kinney,Tema,5316,3,0,113.93878354625852,354.805371963049,A
V-2026-118,Maersk Hangzhou,Apapa,3515,9,14000,362.124204841351,1127.654773875967,C
V-2026-119,Maersk Mc-Kinney Moller,Luanda,3848,2,0,83.95283742986926,261.4291357566129,A
V-2026-120,Maersk Mc-Kinney,Tin Can Island,7111,9,14000,386.68245981064894,1204.1291798503607,C
V-2026-121,Maersk Mc-Kinney,Apapa,5587,10,17500,395.93468079461724,1232.9405959944381,D
V-2026-122,Maersk Camacari,Luanda,5339,4,0,173.68365660074838,540.8509066547305,A
V-2026-123,Maersk Herrera,Tema,2835,5,0,213.44588706576988,664.6704923228074,B
V-2026-124,Maersk Hangzhou,Luanda,8378,5,0,178.3117988925933,555.2629417515354,B
V-2026-125,Maersk Mc-Kinney Moller,Apapa,7092,17,42000,602.7964152887876,1877.1080372092845,E
V-2026-126,Maersk Camacari,Tin Can Island,3395,5,0,206.04028422110457,641.6094450645196,B
V-2026-127,Maersk Herrera,Tin Can Island,6046,10,17500,384.74134082254136,1198.0845353213938,D
V-2026-128,Maersk Camacari,Luanda,3351,5,0,185.4565395539257,577.5116641709246,B
V-2026-129,Maersk Herrera,Apapa,4187,5,0,203.9824967235869,635.2014947972496,B
V-2026-130,Maersk Herrera,Apapa,4431,11,21000,422.5719531502199,1315.8890621097846,D
V-2026-131,Maersk Hangzhou,Apapa,6246,13,28000,524.8442441728291,1634.3649763541898,D
V-2026-132,Maersk Herrera,Apapa,4927,17,42000,673.2202570272073,2096.4078803827233,E
V-2026-133,Maersk Camacari,Tin Can Island,4068,8,10500,326.7812884759323,1017.5969323140531,C
V-2026-134,Maersk Herrera,Apapa,6500,8,10500,312.0240391128225,971.6428577973292,C
V-2026-135,Maersk Hangzhou,Apapa,7552,10,17500,419.7667573696932,1307.1536824492246,D
V-2026-136,Maersk Hangzhou,Tema,5238,5,0,184.00336361746494,572.9864743047858,B
V-2026-137,Maersk Camacari,Luanda,5998,4,0,167.86005864908316,522.7162226332449,A
V-2026-138,Maersk Mc-Kinney,Apapa,8232,7,7000,273.816285005027,852.663911505654,C
V-2026-139,Maersk Mc-Kinney,Apapa,7887,17,42000,743.633992825251,2315.6762536578312,E
V-2026-140,Maersk Herrera,Tin Can Island,8036,16,38500,642.4377687782737,2000.5512119755442,E
V-2026-141,Maersk Mc-Kinney Moller,Apapa,7787,10,17500,447.31103492701044,1392.9265627627105,D
V-2026-142,Maersk Herrera,Apapa,6413,11,21000,451.2128935095056,1405.0769503886004,D
V-2026-143,Maersk Camacari,Apapa,3566,15,35000,558.577359885948,1739.409898684842,E
V-2026-144,Maersk Camacari,Apapa,6880,14,31500,605.0506891582229,1884.127846038706,E
V-2026-145,Maersk Camacari,Tema,4944,3,0,115.35247883467159,359.2076190911673,A
V-2026-146,Maersk Camacari,Apapa,6607,7,7000,269.33334501378783,838.7040363729353,C
V-2026-147,Maersk Camacari,Tema,8226,4,0,141.2721872594066,439.92159112579213,A
V-2026-148,Maersk Hangzhou,Tin Can Island,5873,7,7000,283.4100716445186,882.538963101031,C
V-2026-149,Maersk Mc-Kinney,Apapa,6469,17,42000,685.851995634529,2135.7431144059233,E
V-2026-150,Maersk Camacari,Tin Can Island,5046,17,42000,655.5185523262377,2041.2847719439042,E
